ModelID;OrganismID;Org;Factor4ID;Factor4;ymax;h0;Coefficients;TempMin;TempMax;PHMin;PHMax;AwMin;AwMax;Factor4Min;Factor4Max;DefaultTemp;DefaultPH;DefaultAw;DefaultNaCl;DefaultFactor4;DefaultInoc;StdErr;H0StdErr
1;ps;Pseudomonas spp.;NULL;NULL;19;4.14;"-12.176;0.14213;2.91197;0;0;0;2.96085;-0.00152;-0.24147;-118.19325;0;0;0;0;0";0;20;5;7.4;0.961;1;0;0;20;7;0.997;0.5;NULL;3;0.360000014305115;0.560000002384186
2;bc;Bacillus cereus;NULL;NULL;-27;1.5;"-104.4859;2.5099;-8.7823;0;0.0309;0;1.0866;-0.01295;0.3857;0;0;0;0;0;0";90;100;4.5;7;0.954;0.986;0;0;90;7;0.986;2.5;NULL;0;0.379999995231628;0.270000010728836
2;cbn;Clostridium botulinum (non-prot.);NULL;NULL;-27;0.1;"19.79141;0;-8.25701;0;0.01302;-0.37827;4.49318;0.00319;0.18030;0;0;0;0;0;0";80;95;4.1;7.3;0.971;1;0;0;90;7;0.997;0.5;NULL;0;0.349999994039536;0.100000001490116
2;ec;Escherichia coli;NULL;NULL;-27;0.8;"51.23612;-2.8723;4.842387;0;-0.0133325;3.46925;-5.995419;0;0.1663345;-76.7201;0;0;0;0;0";54.5;64.5;4.2;8;0.947;1;0;0;60;7;0.997;0.5;NULL;0;0.360000014305115;0.300000011920929
2;lm;Listeria monocytogenes/innocua;NULL;NULL;-27;0.9;"3.29642;0;-6.02112;0;0.0369708;0.304072;0;-0.00148099;0.31165;0;0;0;0;0;0";60;68;4.2;7;0.943;1;0;0;60;7;0.997;0.5;NULL;0;0.349999994039536;0.300000011920929
2;ss;salmonellae;NULL;NULL;-27;1.8;"8.1218;0;-5.94372;0;0.0900627;0;0;0;0;0;0;0;0;0;0";54.5;65;4;7.1;0.997;1;0;0;60;7;0.997;0.5;NULL;0;0.370000004768372;0.300000011920929
2;ye;Yersinia enterocolitica;NULL;NULL;-27;2.2;"958.07187;-4.8943;-2.1785256;-1709.8025;0.0321082;5.1346378;0;0;0;745.264174785829;0;0;0;0;0";52;60;4.2;7;0.961;1;0;0;60;7;0.997;0.5;NULL;0;0.400000005960464;0.400000005960464
2;bt;Brochotrix thermosphacta;NULL;NULL;-27;2;"-15.91861;-1.6816589;0;0;0;2.090861;0;0;0;0;0;0;0;0;0";40;55;5;7;0.989;1;0;0;60;7;0.997;0.5;NULL;0;0.330000013113022;0.300000011920929
3;lm;Listeria monocytogenes/innocua;NULL;NULL;-19;4.4;"9.670845;-0.22108;-4.931;2.334504;0.027669;0.195;0;0.005034;0.3550985;0;0;0;0;0;0";0;20;3.5;7;0.793;0.96;0;0;8;4.5;0.894;15;NULL;0;0.379999995231628;0.699999988079071
3;ss;Salmonellae;NULL;NULL;-19;4.2;"16.67318;0;-7.46417;0;0;0.296892;3.03002;0;0.5249836;-22.921838;0;0;0;0;0";0;40;4.3;7.5;0.781;0.96;0;0;8;4.5;0.894;15;NULL;0;0.389999985694885;0.600000023841858
4;ss;Salmonella Typhimurium;NULL;NULL;19.55;2;"-3.3756;0.0768;0;0;0;0;0;0;0;0;0;0;0;0;0";10;42;7.6;8;0.995;1;0;0;20;7.8;0.997;0.5;NULL;3;0.360000014305115;0.400000005960464
1;lm;Listeria monocytogenes/innocua;NULL;NULL;19.6;3.88;"-18.851;0.2409;4.2628;6.36771;0;0;0;-0.00332;-0.31377;-43.12409;0;0;0;0;0";1;40;4.4;7.5;0.934;1;0;0;20;7;0.997;0.5;NULL;3;0.29;0.839999973773956
1;ss;"Salmonellae ";NULL;NULL;19.6;3.29;"-11.906;0.3649;1.7832;7.00019;-0.00442;0;0;-0.00458;-0.12539;-62.11398;0;0;0;0;0";7;40;3.9;7.4;0.973;1;0;0;20;7;0.997;0.5;NULL;3;0.24;0.569999992847443
1;ye;Yersinia enterocolitica;NULL;NULL;19.1;2.27;"-13.616;0.203;3.0026;8.42249;-0.00629;0.11391;0;-0.00217;-0.2171;-93.43807;0;0;0;0;0";-1;37;4.4;7.2;0.957;1;0;0;20;7;0.997;0.5;NULL;3;0.3;0.769999980926514
1;bc;Bacillus cereus;NULL;NULL;17.5;8.21;"-4.362;0.1508;0;0;0.01171;-0.17973;1.44172;-0.00199;0;-59.57447;0;0;0;0;0";5;34;4.9;7.4;0.94;1;0;0;20;7;0.997;0.5;NULL;3;0.33;0.75
1;ec;Escherichia coli;NULL;NULL;20;3.16;"-18.4;0.3634;3.9607;0;0;-0.16349;0;-0.00499;-0.30274;-31.39356;0;0;0;0;0";10;42;4.5;7.5;0.961;1;0;0;20;7;0.997;0.5;NULL;3;0.26;0.629999995231628

